Year,country,Origin,value
1995,Afghanistan,Iran (Islamic Rep. of),3
1995,Afghanistan,Iraq,2
1995,Afghanistan,Tajikistan,19600
1995,Angola,Burundi,2
1995,Angola,Dem. Rep. of the Congo,10846
1995,Angola,Congo,1
1995,Angola,Liberia,5
1995,Angola,Mauritania,1
1995,Angola,Rwanda,22
1995,Angola,Somalia,1
1995,Angola,Chad,5
1995,Angola,Uganda,1
1995,Albania,Bosnia and Herzegovina,45
1995,Albania,China,150
1995,Albania,Iraq,203
1995,Albania,Sri Lanka,50
1995,Albania,The former Yugoslav Republic of Macedonia,100
1995,Albania,Serbia and Kosovo (S/RES/1244 (1999)),4018
1995,Albania,Syrian Arab Rep.,3
1995,Albania,Tunisia,1
1995,Albania,Turkey,150
1995,United Arab Emirates,Bosnia and Herzegovina,3
1995,United Arab Emirates,Iran (Islamic Rep. of),29
1995,United Arab Emirates,Iraq,37
1995,United Arab Emirates,Palestinian,9
1995,United Arab Emirates,Sudan,13
1995,United Arab Emirates,Somalia,202
1995,United Arab Emirates,Syrian Arab Rep.,13
1995,United Arab Emirates,Uganda,90
1995,Armenia,Azerbaijan,200000
1995,Azerbaijan,Armenia,200000
1995,Burundi,Dem. Rep. of the Congo,20000
1995,Burundi,Ethiopia,1
1995,Burundi,Rwanda,153000
1995,Burundi,Somalia,10
1995,Benin,Burundi,11
1995,Benin,Cameroon,35
1995,Benin,Dem. Rep. of the Congo,20
1995,Benin,Rwanda,72
1995,Benin,Chad,329
1995,Benin,Togo,23370
1995,Bangladesh,Iran (Islamic Rep. of),29
1995,Bangladesh,Iraq,7
1995,Bangladesh,Sri Lanka,5
1995,Bangladesh,Myanmar,50985
1995,Bangladesh,Palestinian,1
1995,Bangladesh,Somalia,91
1995,Bulgaria,Afghanistan,475
1995,Bulgaria,Angola,2
1995,Bulgaria,Armenia,79
1995,Bulgaria,Azerbaijan,20
1995,Bulgaria,Bangladesh,15
1995,Bulgaria,Cameroon,3
1995,Bulgaria,Dem. Rep. of the Congo,27
1995,Bulgaria,Congo,1
1995,Bulgaria,Algeria,39
1995,Bulgaria,Ethiopia,77
1995,Bulgaria,Georgia,2
1995,Bulgaria,Guinea,3
1995,Bulgaria,Iran (Islamic Rep. of),42
1995,Bulgaria,Iraq,71
1995,Bulgaria,Jordan,1
1995,Bulgaria,Lebanon,9
1995,Bulgaria,Liberia,6
1995,Bulgaria,Lithuania,1
1995,Bulgaria,Rep. of Moldova,2
1995,Bulgaria,Mongolia,2
1995,Bulgaria,Nigeria,3
1995,Bulgaria,Pakistan,4
1995,Bulgaria,Rwanda,3
1995,Bulgaria,Sudan,9
1995,Bulgaria,Senegal,1
1995,Bulgaria,Sierra Leone,1
1995,Bulgaria,Somalia,19
1995,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),259
1995,Bulgaria,Syrian Arab Rep.,31
1995,Bulgaria,Tajikistan,3
1995,Bulgaria,Turkey,30
1995,Bulgaria,Stateless,75
1995,Bulgaria,Yemen,5
1995,Bahamas,Cuba,8
1995,Belize,Guatemala,2149
1995,Belize,Honduras,221
1995,Belize,Nicaragua,309
1995,Belize,El Salvador,5945
1995,Bolivia (Plurinational State of),Chile,4
1995,Bolivia (Plurinational State of),Guatemala,44
1995,Bolivia (Plurinational State of),Sri Lanka,6
1995,Bolivia (Plurinational State of),Peru,625
1995,Bolivia (Plurinational State of),Romania,1
1995,Bolivia (Plurinational State of),Serbia and Kosovo (S/RES/1244 (1999)),1
1995,Brazil,Angola,1264
1995,Brazil,Argentina,15
1995,Brazil,Chile,20
1995,Brazil,Dem. Rep. of the Congo,143
1995,Brazil,Cuba,62
1995,Brazil,Ghana,6
1995,Brazil,Croatia,17
1995,Brazil,Iran (Islamic Rep. of),12
1995,Brazil,Iraq,48
1995,Brazil,Lebanon,19
1995,Brazil,Liberia,150
1995,Brazil,Nigeria,11
1995,Brazil,Peru,35
1995,Brazil,Rwanda,9
1995,Brazil,Sudan,15
1995,Brazil,Somalia,11
1995,Brazil,Serbia and Kosovo (S/RES/1244 (1999)),28
1995,Brazil,Viet Nam,21
1995,Botswana,Angola,175
1995,Botswana,Burundi,6
1995,Botswana,Dem. Rep. of the Congo,3
1995,Botswana,Ethiopia,5
1995,Botswana,Kenya,1
1995,Botswana,Mozambique,1
1995,Botswana,Rwanda,8
1995,Botswana,Sudan,7
1995,Botswana,Somalia,15
1995,Botswana,Uganda,12
1995,Botswana,South Africa,14
1995,Central African Rep.,Angola,13
1995,Central African Rep.,Burundi,210
1995,Central African Rep.,Rwanda,237
1995,Central African Rep.,Sudan,27252
1995,Central African Rep.,Chad,6101
1995,Canada,Afghanistan,4575
1995,Canada,Angola,110
1995,Canada,Albania,239
1995,Canada,Andorra,1
1995,Canada,Argentina,247
1995,Canada,Armenia,43
1995,Canada,Australia,1
1995,Canada,Austria,49
1995,Canada,Azerbaijan,56
1995,Canada,Burundi,637
1995,Canada,Belgium,3
1995,Canada,Benin,15
1995,Canada,Burkina Faso,9
1995,Canada,Bangladesh,1639
1995,Canada,Bulgaria,1053
1995,Canada,Bahrain,11
1995,Canada,Bosnia and Herzegovina,12171
1995,Canada,Belarus,36
1995,Canada,Belize,8
1995,Canada,Bolivia (Plurinational State of),72
1995,Canada,Brazil,24
1995,Canada,Barbados,2
1995,Canada,Bhutan,6
1995,Canada,Botswana,22
1995,Canada,Central African Rep.,5
1995,Canada,Switzerland,27
1995,Canada,Chile,501
1995,Canada,China,1597
1995,Canada,Côte d'Ivoire,50
1995,Canada,Cameroon,89
1995,Canada,Dem. Rep. of the Congo,1564
1995,Canada,Congo,19
1995,Canada,Colombia,112
1995,Canada,Comoros,4
1995,Canada,Costa Rica,204
1995,Canada,Cuba,696
1995,Canada,Cyprus,9
1995,Canada,Czech Rep.,394
1995,Canada,Germany,376
1995,Canada,Djibouti,57
1995,Canada,Denmark,18
1995,Canada,Dominican Rep.,25
1995,Canada,Algeria,905
1995,Canada,Ecuador,130
1995,Canada,Egypt,181
1995,Canada,Eritrea,17
1995,Canada,Spain,29
1995,Canada,Estonia,193
1995,Canada,Ethiopia,5673
1995,Canada,Finland,1
1995,Canada,Fiji,28
1995,Canada,France,14
1995,Canada,Gabon,5
1995,Canada,United Kingdom,65
1995,Canada,Georgia,45
1995,Canada,Ghana,751
1995,Canada,Guinea,60
1995,Canada,Gambia,2
1995,Canada,Guinea-Bissau,5
1995,Canada,Equatorial Guinea,2
1995,Canada,Greece,129
1995,Canada,Grenada,6
1995,Canada,Guatemala,3052
1995,Canada,Guyana,59
1995,Canada,"China, Hong Kong SAR",202
1995,Canada,Honduras,497
1995,Canada,Croatia,984
1995,Canada,Haiti,1145
1995,Canada,Hungary,651
1995,Canada,Indonesia,62
1995,Canada,India,1528
1995,Canada,Ireland,2
1995,Canada,Iran (Islamic Rep. of),8131
1995,Canada,Iraq,7308
1995,Canada,Israel,794
1995,Canada,Italy,114
1995,Canada,Jamaica,6
1995,Canada,Jordan,148
1995,Canada,Japan,3
1995,Canada,Kazakhstan,115
1995,Canada,Kenya,453
1995,Canada,Kyrgyzstan,14
1995,Canada,Cambodia,822
1995,Canada,Rep. of Korea,13
1995,Canada,Kuwait,616
1995,Canada,Lao People's Dem. Rep.,1055
1995,Canada,Lebanon,3177
1995,Canada,Liberia,205
1995,Canada,Libya,120
1995,Canada,Saint Lucia,2
1995,Canada,Sri Lanka,17975
1995,Canada,Lithuania,43
1995,Canada,Latvia,81
1995,Canada,Morocco,46
1995,Canada,Rep. of Moldova,499
1995,Canada,Madagascar,1
1995,Canada,Mexico,250
1995,Canada,The former Yugoslav Republic of Macedonia,17
1995,Canada,Mali,103
1995,Canada,Malta,13
1995,Canada,Myanmar,208
1995,Canada,Mongolia,1
